#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
179,erling_haaland_23,Erling Haaland,23,7,0,1,0,1,8,1,30.8,36,8,44,29,23.1,5.3,28.4,35,58,151,1.2,3.00,2.00,0.00,2.00,1.00,12.00,8.00,3.00,6.00,14.00,0.00,116.00,53.00,12.60,0.00,28.40,72.00,2.34,48.00,10.00,17.00,180000000.00
1185,vinicius_junior_23,Vinicius Júnior,23,12,0,1,0,1,47,3,31.4,10,9,19,10,10.5,9.4,19.9,221,87,495,0.61,30.00,21.00,10.00,12.00,8.00,24.00,23.00,1.50,36.00,1.00,0.00,77.00,36.00,16.20,0.00,10.50,161.00,5.13,103.00,11.00,21.00,150000000.00
373,bukayo_saka_21,Bukayo Saka,21,3,0,1,0,1,20,1,35.3,14,11,25,12,9.1,8.5,17.6,179,109,520,0.65,63.00,34.00,22.00,15.00,26.00,38.00,38.00,1.13,77.00,19.00,0.00,86.00,29.00,16.30,1.00,11.20,161.00,4.56,106.00,11.00,28.00,120000000.00
800,victor_osimhen_24,Victor Osimhen,24,17,0,1,0,1,40,2,28.5,26,4,30,24,18.9,2.8,21.8,43,28,196,0.98,10.00,6.00,1.00,2.00,7.00,6.00,5.00,1.50,16.00,29.00,0.00,132.00,52.00,12.80,1.00,21.30,80.00,2.80,54.00,11.00,9.00,120000000.00
144,phil_foden_23,Phil Foden,23,3,0,1,0,1,8,1,20.5,11,6,17,11,5.9,4.7,10.6,68,88,275,0.83,16.00,10.00,9.00,5.00,2.00,25.00,23.00,1.40,21.00,12.00,0.00,46.00,22.00,15.30,1.00,5.90,99.00,4.83,76.00,5.00,14.00,110000000.00
1314,pedri_20,Pedri,20,10,0,0,1,2,49,3,22,6,1,7,6,4.9,5,9.9,67,184,99,0.32,39.00,22.00,15.00,17.00,7.00,27.00,27.00,13.00,52.00,8.00,1.00,22.00,9.00,15.90,0.00,4.90,87.00,3.96,74.00,2.00,11.00,100000000.00
1357,rodrygo_22,Rodrygo,22,12,0,1,1,4,47,3,26.4,9,8,17,8,12.9,7,19.9,146,81,268,0.61,17.00,10.00,3.00,7.00,7.00,23.00,23.00,1.70,25.00,5.00,0.00,97.00,31.00,16.60,8.00,13.70,133.00,5.03,78.00,9.00,21.00,100000000.00
1411,federico_valverde_25,Federico Valverde,25,25,0,1,1,4,47,3,27.8,7,4,11,7,4.3,6.3,10.6,70,151,135,0.4,31.00,20.00,14.00,11.00,6.00,31.00,27.00,17.00,48.00,15.00,0.00,63.00,21.00,22.70,2.00,4.30,81.00,2.91,77.00,1.00,14.00,100000000.00
219,harry_kane_30,Harry Kane,30,3,0,1,0,1,18,1,37.8,30,3,33,25,16.7,7,23.7,60,180,193,0.74,15.00,12.00,1.00,6.00,8.00,27.00,20.00,2.00,17.00,18.00,0.00,124.00,54.00,16.00,3.00,21.50,131.00,3.46,89.00,12.00,18.00,90000000.00
356,declan_rice_24,Declan Rice,24,3,0,0,1,2,4,1,36.4,4,1,5,4,1.6,3.2,4.8,88,240,37,0.14,79.00,38.00,44.00,31.00,4.00,45.00,30.00,3.30,142.00,58.00,0.00,35.00,8.00,23.60,1.00,2.40,100.00,2.75,86.00,1.00,6.00,90000000.00
475,martin_odegaard_24,Martin Ødegaard,24,7,0,0,1,2,20,1,34.7,15,7,22,15,10,8.1,18.1,83,266,193,0.63,36.00,23.00,12.00,14.00,10.00,20.00,15.00,6.00,42.00,12.00,1.00,93.00,31.00,19.20,9.00,10.00,163.00,4.69,123.00,12.00,17.00,90000000.00
722,rafael_leao_24,Rafael Leão,24,31,0,1,1,4,24,2,26.9,15,8,23,15,10.8,7,17.9,136,122,235,0.86,8.00,7.00,2.00,3.00,3.00,9.00,7.00,15.00,23.00,8.00,0.00,92.00,29.00,17.90,0.00,10.80,123.00,4.57,80.00,8.00,18.00,90000000.00
1132,gavi_19,Gavi,19,10,0,1,1,4,49,3,28.1,2,4,6,2,3.2,3.7,6.9,49,134,153,0.21,47.00,31.00,7.00,30.00,10.00,32.00,27.00,18.00,65.00,22.00,0.00,28.00,8.00,16.60,0.00,3.20,72.00,2.56,59.00,4.00,7.00,90000000.00
714,khvicha_kvaratskhelia_22,Khvicha Kvaratskhelia,22,75,0,1,0,1,40,2,28,12,10,22,10,6.6,7.7,14.2,139,91,291,0.71,43.00,23.00,12.00,8.00,23.00,20.00,20.00,5.00,48.00,6.00,1.00,83.00,30.00,19.10,3.00,8.20,136.00,4.86,90.00,13.00,24.00,85000000.00
754,lautaro_martinez_26,Lautaro Martínez,26,11,0,1,0,1,23,2,28.6,21,6,27,20,16.5,5.4,21.9,49,83,172,0.91,25.00,14.00,3.00,15.00,7.00,31.00,30.00,13.00,38.00,16.00,1.00,125.00,51.00,15.10,0.00,18.10,94.00,3.28,65.00,13.00,16.00,85000000.00
1040,eduardo_camavinga_20,Eduardo Camavinga,20,5,1,0,1,5,47,3,22.3,0,1,1,0,0.8,1.5,2.3,69,165,99,0.04,68.00,48.00,32.00,21.00,15.00,24.00,19.00,17.00,85.00,25.00,0.00,18.00,3.00,23.20,0.00,0.80,72.00,3.23,55.00,3.00,5.00,85000000.00
1392,aurelien_tchouameni_23,Aurélien Tchouaméni,23,5,0,0,1,2,47,3,23.5,0,4,4,0,1.8,2.2,4,41,142,23,0.17,64.00,40.00,23.00,36.00,5.00,20.00,14.00,2.17,113.00,50.00,0.00,38.00,6.00,22.10,0.00,1.80,63.00,2.67,53.00,3.00,12.00,85000000.00
109,ruben_dias_26,Rúben Dias,26,31,1,0,0,3,8,1,22.2,0,0,0,0,1.3,0.6,1.9,14,98,2,0,21.00,13.00,10.00,10.00,1.00,21.00,8.00,1.17,39.00,56.00,1.00,10.00,2.00,9.10,0.00,1.30,15.00,0.68,11.00,3.00,1.00,80000000.00
141,enzo_fernandez_22,Enzo Fernández,22,11,0,0,1,2,14,1,17.2,0,2,2,0,0.8,2.4,3.2,22,168,18,0.12,45.00,27.00,25.00,17.00,3.00,32.00,30.00,16.00,61.00,12.00,1.00,20.00,3.00,25.70,2.00,0.80,59.00,3.43,49.00,2.00,6.00,80000000.00
272,martinelli_22,Martinelli,22,12,0,1,0,1,20,1,31,15,5,20,15,9.3,9.1,18.4,124,94,350,0.65,31.00,18.00,13.00,12.00,6.00,24.00,23.00,1.80,40.00,14.00,0.00,79.00,30.00,15.40,2.00,9.30,127.00,4.10,89.00,12.00,17.00,80000000.00
351,marcus_rashford_25,Marcus Rashford,25,3,0,1,0,1,13,1,32,17,5,22,17,15.4,3.4,18.8,85,88,245,0.69,20.00,10.00,7.00,8.00,5.00,31.00,27.00,7.00,27.00,14.00,0.00,108.00,49.00,16.40,7.00,15.40,98.00,3.06,61.00,14.00,14.00,80000000.00
393,bernardo_silva_29,Bernardo Silva,29,31,0,1,1,4,8,1,24.5,4,5,9,4,2.2,3.3,5.4,90,130,188,0.37,44.00,23.00,11.00,25.00,8.00,23.00,17.00,1.15,60.00,6.00,0.00,25.00,9.00,18.10,0.00,2.20,75.00,3.06,65.00,1.00,12.00,80000000.00
62,moises_caicedo_21,Moisés Caicedo,21,29,0,0,1,2,19,1,34.9,1,1,2,1,1.7,2.7,4.3,38,219,61,0.06,100.00,50.00,41.00,47.00,12.00,43.00,36.00,2.24,156.00,31.00,3.00,28.00,8.00,23.90,0.00,1.70,88.00,2.52,81.00,3.00,5.00,75000000.00
110,luis_diaz_26,Luis Díaz,26,35,0,1,0,1,10,1,11.1,4,2,6,4,2.5,1.5,4,39,49,116,0.54,17.00,11.00,4.00,8.00,5.00,8.00,8.00,1.50,23.00,2.00,0.00,27.00,8.00,15.10,0.00,2.50,41.00,3.70,29.00,3.00,6.00,75000000.00
140,bruno_fernandes_28,Bruno Fernandes,28,31,0,1,1,4,13,1,36.8,8,8,16,6,7.7,16.7,24.4,89,263,231,0.38,68.00,42.00,24.00,25.00,19.00,37.00,32.00,1.24,93.00,40.00,1.00,90.00,32.00,20.80,6.00,9.30,219.00,5.94,164.00,12.00,18.00,75000000.00
171,jack_grealish_27,Jack Grealish,27,3,0,1,0,1,8,1,22.8,5,7,12,5,4.6,7,11.7,143,100,310,0.53,25.00,16.00,10.00,12.00,3.00,17.00,14.00,1.60,32.00,9.00,0.00,41.00,15.00,15.40,0.00,4.60,104.00,4.55,71.00,6.00,20.00,75000000.00
206,gabriel_jesus_26,Gabriel Jesus,26,12,0,1,0,1,20,1,22.9,11,6,17,10,13.2,3.9,17.1,44,64,194,0.7,33.00,25.00,16.00,8.00,9.00,27.00,24.00,11.00,44.00,15.00,1.00,76.00,31.00,10.60,0.00,14.00,83.00,3.62,43.00,11.00,12.00,75000000.00
510,nicolo_barella_26,Nicolò Barella,26,42,0,0,1,2,23,2,29,6,6,12,6,3.2,5.6,8.8,76,214,162,0.41,49.00,25.00,17.00,26.00,6.00,29.00,24.00,1.11,61.00,12.00,0.00,33.00,13.00,20.60,1.00,3.20,121.00,4.17,103.00,2.00,13.00,75000000.00
