,#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value,value_log,estimated_value_log,diff_log,estimated_value,diff,absolute_diff
0,179,erling_haaland_23,Erling Haaland,23,7,0,1,0,1,8,1,30.8,36,8,44,29,23.1,5.3,28.4,35,58,151,1.2,3.0,2.0,0.0,2.0,1.0,12.0,8.0,3.0,6.0,14.0,0.0,116.0,53.0,12.6,0.0,28.4,72.0,2.34,48.0,10.0,17.0,180000000,19.008467408854486,18.547624179770427,0.46084322908405895,113535279.56630693,66464720.433693066,66464720.433693066
1,1185,vinicius_junior_23,Vinicius Júnior,23,12,0,1,0,1,47,3,31.4,10,9,19,10,10.5,9.4,19.9,221,87,495,0.61,30.0,21.0,10.0,12.0,8.0,24.0,23.0,1.5,36.0,1.0,0.0,77.0,36.0,16.2,0.0,10.5,161.0,5.13,103.0,11.0,21.0,150000000,18.82614585206053,18.027954188735695,0.798191663324836,67521335.59146999,82478664.40853001,82478664.40853001
2,373,bukayo_saka_21,Bukayo Saka,21,3,0,1,0,1,20,1,35.3,14,11,25,12,9.1,8.5,17.6,179,109,520,0.65,63.0,34.0,22.0,15.0,26.0,38.0,38.0,1.13,77.0,19.0,0.0,86.0,29.0,16.3,1.0,11.2,161.0,4.56,106.0,11.0,28.0,120000000,18.60300230074632,18.31333559579152,0.2896667049547972,89821560.20200925,30178439.797990754,30178439.797990754
3,800,victor_osimhen_24,Victor Osimhen,24,17,0,1,0,1,40,2,28.5,26,4,30,24,18.9,2.8,21.8,43,28,196,0.98,10.0,6.0,1.0,2.0,7.0,6.0,5.0,1.5,16.0,29.0,0.0,132.0,52.0,12.8,1.0,21.3,80.0,2.8,54.0,11.0,9.0,120000000,18.60300230074632,18.203352711603838,0.3996495891424807,80466596.95393689,39533403.04606311,39533403.04606311
4,144,phil_foden_23,Phil Foden,23,3,0,1,0,1,8,1,20.5,11,6,17,11,5.9,4.7,10.6,68,88,275,0.83,16.0,10.0,9.0,5.0,2.0,25.0,23.0,1.4,21.0,12.0,0.0,46.0,22.0,15.3,1.0,5.9,99.0,4.83,76.0,5.0,14.0,110000000,18.51599092375669,18.20044676218767,0.31554416156901866,80233104.51641525,29766895.483584747,29766895.483584747
5,1314,pedri_20,Pedri,20,10,0,0,1,2,49,3,22.0,6,1,7,6,4.9,5.0,9.9,67,184,99,0.32,39.0,22.0,15.0,17.0,7.0,27.0,27.0,13.0,52.0,8.0,1.0,22.0,9.0,15.9,0.0,4.9,87.0,3.96,74.0,2.0,11.0,100000000,18.420680743952367,17.84169846132847,0.5789822826238975,56046847.49172886,43953152.50827114,43953152.50827114
6,1357,rodrygo_22,Rodrygo,22,12,0,1,1,4,47,3,26.4,9,8,17,8,12.9,7.0,19.9,146,81,268,0.61,17.0,10.0,3.0,7.0,7.0,23.0,23.0,1.7,25.0,5.0,0.0,97.0,31.0,16.6,8.0,13.7,133.0,5.03,78.0,9.0,21.0,100000000,18.420680743952367,18.14026722700006,0.2804135169523079,75547127.66755505,24452872.33244495,24452872.33244495
7,1411,federico_valverde_25,Federico Valverde,25,25,0,1,1,4,47,3,27.8,7,4,11,7,4.3,6.3,10.6,70,151,135,0.4,31.0,20.0,14.0,11.0,6.0,31.0,27.0,17.0,48.0,15.0,0.0,63.0,21.0,22.7,2.0,4.3,81.0,2.91,77.0,1.0,14.0,100000000,18.420680743952367,17.923213601967547,0.49746714198482067,60806886.29584045,39193113.70415955,39193113.70415955
8,219,harry_kane_30,Harry Kane,30,3,0,1,0,1,18,1,37.8,30,3,33,25,16.7,7.0,23.7,60,180,193,0.74,15.0,12.0,1.0,6.0,8.0,27.0,20.0,2.0,17.0,18.0,0.0,124.0,54.0,16.0,3.0,21.5,131.0,3.46,89.0,12.0,18.0,90000000,18.31532022829454,18.068277647808987,0.2470425804855516,70299668.96005441,19700331.039945588,19700331.039945588
9,356,declan_rice_24,Declan Rice,24,3,0,0,1,2,4,1,36.4,4,1,5,4,1.6,3.2,4.8,88,240,37,0.14,79.0,38.0,44.0,31.0,4.0,45.0,30.0,3.3,142.0,58.0,0.0,35.0,8.0,23.6,1.0,2.4,100.0,2.75,86.0,1.0,6.0,90000000,18.31532022829454,17.766554912450186,0.5487653158443528,51989634.10036162,38010365.89963838,38010365.89963838
