Nationality,Value
us USA,1
sct SCO,2
eng ENG,3
ma MAR,4
fr FRA,5
dz ALG,6
no NOR,7
ch SUI,8
nl NED,9
es ESP,10
ar ARG,11
br BRA,12
py PAR,13
gh GHA,14
dk DEN,15
jm JAM,16
ng NGA,17
ga GAB,18
ci CIV,19
gd GRN,20
ie IRL,21
pl POL,22
ba BIH,23
de GER,24
uy URU,25
ml MLI,26
al ALB,27
wls WAL,28
ec ECU,29
hr CRO,30
pt POR,31
be BEL,32
cz CZE,33
zm ZAM,34
co COL,35
sk SVK,36
se SWE,37
eg EGY,38
nir NIR,39
sn SEN,40
ir IRN,41
it ITA,42
kr KOR,43
mx MEX,44
cd COD,45
gn GUI,46
rs SRB,47
cm CMR,48
jp JPN,49
ua UKR,50
cr CRC,51
bf BFA,52
ve VEN,53
at AUT,54
il ISR,55
au AUS,56
tr TUR,57
gr GRE,58
nz NZL,59
zw ZIM,60
bg BUL,61
gm GAM,62
gw GNB,63
si SVN,64
tn TUN,65
ro ROU,66
mq MTQ,67
is ISL,68
mk MKD,69
cl CHI,70
lt LTU,71
gp GLP,72
sl SLE,73
cy CYP,74
ge GEO,75
me MNE,76
ru RUS,77
am ARM,78
ao ANG,79
gq EQG,80
fi FIN,81
xk KVX,82
uz UZB,83
pe PER,84
tg TOG,85
cf CTA,86
ca CAN,87
hn HON,88
mz MOZ,89
do DOM,90
